iter	Passed	Remaining
0	107	107168
1	107	53820
2	108	36052
3	109	27246
4	110	21907
5	110	18335
6	111	15813
7	112	13893
8	112	12395
9	113	11208
10	114	10254
11	114	9465
12	115	8771
13	116	8177
14	116	7664
15	117	7219
16	118	6824
17	118	6469
18	120	6216
19	121	5935
20	121	5675
21	122	5438
22	122	5223
23	123	5022
24	124	4837
25	124	4667
26	125	4509
27	125	4367
28	126	4249
29	127	4134
30	128	4015
31	129	3921
32	130	3817
33	131	3725
34	131	3634
35	132	3547
36	133	3463
37	133	3386
38	134	3311
39	135	3241
40	135	3172
41	136	3106
42	137	3053
43	137	2996
44	138	2939
45	139	2885
46	139	2837
47	141	2802
48	141	2755
49	143	2728
50	144	2685
51	144	2642
52	145	2600
53	146	2560
54	146	2522
55	147	2485
56	148	2450
57	148	2418
58	149	2386
59	150	2355
60	151	2327
61	151	2296
62	152	2268
63	153	2240
64	153	2213
65	155	2196
66	156	2173
67	157	2163
68	158	2140
69	159	2116
70	160	2094
71	161	2081
72	162	2060
73	162	2038
74	163	2016
75	164	1995
76	164	1974
77	165	1954
78	165	1934
79	166	1914
80	167	1898
81	167	1880
82	168	1859
83	168	1842
84	169	1826
85	170	1810
86	171	1794
87	171	1778
88	172	1763
89	173	1750
90	174	1738
91	174	1724
92	175	1711
93	176	1696
94	176	1682
95	177	1669
96	177	1655
97	178	1642
98	179	1630
99	179	1617
100	180	1608
101	181	1597
102	182	1585
103	182	1573
104	183	1561
105	183	1550
106	184	1538
107	185	1528
108	185	1517
109	186	1509
110	187	1501
111	188	1490
112	188	1480
113	189	1470
114	189	1461
115	190	1452
116	191	1441
117	191	1433
118	192	1427
119	193	1418
120	194	1410
121	194	1400
122	195	1392
123	195	1384
124	196	1376
125	197	1368
126	197	1359
127	198	1352
128	199	1346
129	200	1338
130	200	1331
131	201	1323
132	201	1316
133	202	1308
134	203	1302
135	204	1297
136	205	1291
137	205	1285
138	206	1279
139	207	1272
140	207	1266
141	208	1258
142	208	1252
143	209	1246
144	210	1239
145	211	1235
146	211	1230
147	212	1224
148	213	1218
149	214	1212
150	214	1207
151	215	1201
152	215	1195
153	216	1190
154	217	1187
155	218	1183
156	219	1178
157	220	1173
158	220	1167
159	221	1162
160	221	1155
161	222	1151
162	223	1149
163	224	1144
164	225	1139
165	225	1134
166	226	1129
167	227	1124
168	227	1119
169	228	1114
170	229	1110
171	229	1107
172	230	1102
173	231	1097
174	231	1093
175	232	1088
176	233	1084
177	233	1079
178	234	1075
179	235	1071
180	235	1067
181	236	1063
182	237	1059
183	238	1055
184	238	1051
185	239	1047
186	240	1043
187	240	1039
188	241	1035
189	242	1032
190	242	1028
191	243	1024
192	244	1020
193	244	1016
194	245	1013
195	245	1008
196	246	1004
197	247	1000
198	247	997
199	248	994
200	249	990
201	249	987
202	250	983
203	251	979
204	251	976
205	252	972
206	252	969
207	253	965
208	254	963
209	255	959
210	255	956
211	256	952
212	256	949
213	257	946
214	258	942
215	258	939
216	259	935
217	260	933
218	260	930
219	261	927
220	262	924
221	262	921
222	263	918
223	264	915
224	264	912
225	265	908
226	266	906
227	266	902
228	267	900
229	268	898
230	269	896
231	270	894
232	270	891
233	271	888
234	272	885
235	273	885
236	274	883
237	274	880
238	275	877
239	276	874
240	276	871
241	277	868
242	277	865
243	278	862
244	279	860
245	279	857
246	280	854
247	280	851
248	281	849
249	282	846
250	282	844
251	283	841
252	284	838
253	284	835
254	285	833
255	286	831
256	286	829
257	287	826
258	288	824
259	288	821
260	289	819
261	290	817
262	290	814
263	291	812
264	291	809
265	292	807
266	293	804
267	293	802
268	294	800
269	295	797
270	295	795
271	296	793
272	296	790
273	297	788
274	298	786
275	298	784
276	299	782
277	300	779
278	300	777
279	301	775
280	302	773
281	302	770
282	303	768
283	303	766
284	304	764
285	305	762
286	305	760
287	306	757
288	307	755
289	307	753
290	308	751
291	309	749
292	309	747
293	310	745
294	311	743
295	311	741
296	312	739
297	313	737
298	313	735
299	314	733
300	314	731
301	315	729
302	316	727
303	316	725
304	317	723
305	318	721
306	318	719
307	319	717
308	320	715
309	320	713
310	321	711
311	321	709
312	322	708
313	323	706
314	323	704
315	324	702
316	325	700
317	325	698
318	326	696
319	326	694
320	327	692
321	328	690
322	328	689
323	329	687
324	330	685
325	330	683
326	331	681
327	331	680
328	332	678
329	333	676
330	333	674
331	334	672
332	334	670
333	335	669
334	336	667
335	336	665
336	337	663
337	337	661
338	338	660
339	339	658
340	339	656
341	340	654
342	341	653
343	341	651
344	342	650
345	343	648
346	343	646
347	344	645
348	344	643
349	345	641
350	346	639
351	346	638
352	347	636
353	348	635
354	348	633
355	349	631
356	349	630
357	350	628
358	351	626
359	351	625
360	352	623
361	352	622
362	353	620
363	354	619
364	354	617
365	355	615
366	356	614
367	356	612
368	357	611
369	357	609
370	358	607
371	359	606
372	359	604
373	360	603
374	361	601
375	361	600
376	362	598
377	362	597
378	363	595
379	364	594
380	364	592
381	365	590
382	366	589
383	366	588
384	367	586
385	368	585
386	368	584
387	369	582
388	369	580
389	370	579
390	371	577
391	371	576
392	372	574
393	372	573
394	373	572
395	374	570
396	374	568
397	375	567
398	375	566
399	376	564
400	376	563
401	377	561
402	378	560
403	378	558
404	379	557
405	380	556
406	380	554
407	381	553
408	382	552
409	382	550
410	383	549
411	383	547
412	384	546
413	385	545
414	385	544
415	386	542
416	387	541
417	388	540
418	388	539
419	389	537
420	390	536
421	390	534
422	391	533
423	392	532
424	392	531
425	393	530
426	394	528
427	394	527
428	395	526
429	396	524
430	396	523
431	397	522
432	398	521
433	399	520
434	399	519
435	400	518
436	401	516
437	401	515
438	402	514
439	403	512
440	403	511
441	404	510
442	405	509
443	406	508
444	406	507
445	407	505
446	407	504
447	408	503
448	409	502
449	409	500
450	410	499
451	411	498
452	411	497
453	412	496
454	413	494
455	413	493
456	414	492
457	414	490
458	415	489
459	416	488
460	416	487
461	417	486
462	418	484
463	418	483
464	419	482
465	419	481
466	420	479
467	421	478
468	421	477
469	422	476
470	423	475
471	423	473
472	424	472
473	424	471
474	425	470
475	426	468
476	426	467
477	427	466
478	428	465
479	428	464
480	429	463
481	430	462
482	430	461
483	431	459
484	432	458
485	432	457
486	433	456
487	434	455
488	434	454
489	435	453
490	436	452
491	436	451
492	437	449
493	438	448
494	438	447
495	439	446
496	440	445
497	440	444
498	441	443
499	442	442
500	442	441
501	443	439
502	444	438
503	444	437
504	445	436
505	445	435
506	446	434
507	447	433
508	447	432
509	448	431
510	449	429
511	449	428
512	450	427
513	451	426
514	451	425
515	452	424
516	453	423
517	453	422
518	454	421
519	455	420
520	455	418
521	456	417
522	457	416
523	457	415
524	458	414
525	458	413
526	459	412
527	460	411
528	460	410
529	461	409
530	461	408
531	462	406
532	463	405
533	463	404
534	464	403
535	464	402
536	465	401
537	466	400
538	466	399
539	467	398
540	468	397
541	468	396
542	469	395
543	470	394
544	470	393
545	471	391
546	471	390
547	472	389
548	473	388
549	473	387
550	474	386
551	475	385
552	475	384
553	476	383
554	476	382
555	477	381
556	478	380
557	478	379
558	479	378
559	480	377
560	480	376
561	481	375
562	481	374
563	482	373
564	483	371
565	483	370
566	484	369
567	484	368
568	485	367
569	486	366
570	486	365
571	487	364
572	488	363
573	488	362
574	489	361
575	490	360
576	490	359
577	491	358
578	491	357
579	492	356
580	493	355
581	493	354
582	494	353
583	494	352
584	495	351
585	496	350
586	496	349
587	497	348
588	497	347
589	498	346
590	499	345
591	499	344
592	500	343
593	501	342
594	501	341
595	502	340
596	503	339
597	503	338
598	504	337
